H(Oe)	T(K)	R1+(Ohm)	R1_SD(Ohm)	R2(Ohm)	R2_SD(Ohm)	Hall R1(Ohm)	Hall R1 SD(Ohm)	Hall R2(Ohm)	Hall R2 SD(Ohm)	V(mV)	V_SD(mV)	R(Ohm)	R_SD(Ohm)	Hall V(mV)	Hall V SD(mV)	Hall R(Ohm)	Hall R SD(Ohm)
-21532.190000	    1.900183	  132.685390	    0.000276	  158.208815	    0.000452	   23.939740	    0.001948	  -26.855460	    0.000727	   14.544710	    0.000036	  145.447102	    0.000364	   -0.145786	    0.000134	   -1.457860	    0.001338
-21229.950000	    1.900114	  132.828445	    0.000418	  158.144305	    0.000256	   24.162675	    0.000920	  -26.832830	    0.000681	   14.548638	    0.000034	  145.486375	    0.000337	   -0.133508	    0.000080	   -1.335078	    0.000801
-20927.710000	    1.900197	  132.652585	    0.000218	  158.308005	    0.000238	   23.828930	    0.000714	  -26.465600	    0.000311	   14.548030	    0.000023	  145.480295	    0.000228	   -0.131833	    0.000051	   -1.318335	    0.000512
-20626.030000	    1.900169	  132.665365	    0.000693	  158.254785	    0.000352	   24.069565	    0.000395	  -26.585060	    0.000778	   14.546007	    0.000052	  145.460075	    0.000522	   -0.125775	    0.000059	   -1.257748	    0.000587
-20323.790000	    1.900127	  132.574050	    0.000182	  158.255935	    0.000211	   24.122350	    0.000743	  -26.536070	    0.000852	   14.541499	    0.000020	  145.414992	    0.000196	   -0.120686	    0.000080	   -1.206860	    0.000797
-20021.550000	    1.900086	  132.588965	    0.000312	  158.003670	    0.000114	   23.919610	    0.000418	  -26.675135	    0.000322	   14.529632	    0.000021	  145.296317	    0.000213	   -0.137776	    0.000037	   -1.377762	    0.000370
-19718.750000	    1.900141	  132.589345	    0.000675	  158.205435	    0.000593	   24.176580	    0.000237	  -26.738380	    0.000455	   14.539739	    0.000063	  145.397390	    0.000634	   -0.128090	    0.000035	   -1.280900	    0.000346
-19418.730000	    1.900141	  132.560850	    0.000346	  158.434690	    0.000395	   23.819375	    0.000491	  -26.986685	    0.000668	   14.549777	    0.000037	  145.497770	    0.000371	   -0.158365	    0.000058	   -1.583655	    0.000579
-19116.490000	    1.900100	  132.663980	    0.000312	  158.093110	    0.000227	   24.084220	    0.000564	  -26.393050	    0.001052	   14.537854	    0.000027	  145.378545	    0.000270	   -0.115441	    0.000081	   -1.154415	    0.000808
-18814.260000	    1.900100	  132.485315	    0.000265	  158.251455	    0.000327	   24.360915	    0.000355	  -26.635795	    0.000662	   14.536838	    0.000030	  145.368385	    0.000296	   -0.113744	    0.000051	   -1.137440	    0.000509
-18513.120000	    1.900127	  132.573065	    0.000250	  158.299980	    0.000325	   24.335920	    0.000387	  -26.582605	    0.000698	   14.543652	    0.000029	  145.436522	    0.000288	   -0.112334	    0.000054	   -1.123342	    0.000543
-18210.880000	    1.900114	  132.537880	    0.000352	  158.105950	    0.000761	   24.126150	    0.000794	  -26.453425	    0.000560	   14.532191	    0.000056	  145.321915	    0.000556	   -0.116364	    0.000068	   -1.163637	    0.000677
-17909.200000	    1.900141	  132.624645	    0.001141	  158.033540	    0.000258	   24.374030	    0.000242	  -26.474865	    0.000353	   14.532909	    0.000070	  145.329093	    0.000700	   -0.105042	    0.000030	   -1.050417	    0.000298
-17606.960000	    1.900114	  132.508375	    0.000405	  157.997345	    0.000473	   23.758720	    0.001125	  -26.259620	    0.000367	   14.525286	    0.000044	  145.252860	    0.000439	   -0.125045	    0.000075	   -1.250450	    0.000746
-17305.280000	    1.900114	  132.712795	    0.000350	  157.905545	    0.000860	   23.963255	    0.001373	  -26.382025	    0.000788	   14.530917	    0.000060	  145.309170	    0.000605	   -0.120939	    0.000108	   -1.209385	    0.001080
-17003.590000	    1.900044	  132.564600	    0.000329	  158.027165	    0.001414	   24.287490	    0.001289	  -26.577235	    0.001162	   14.529588	    0.000087	  145.295883	    0.000871	   -0.114487	    0.000123	   -1.144872	    0.001225
-16701.910000	    1.900058	  132.349205	    0.000463	  158.166625	    0.000413	   24.333790	    0.000422	  -26.373775	    0.000941	   14.525792	    0.000044	  145.257915	    0.000438	   -0.101999	    0.000068	   -1.019992	    0.000681
-16399.670000	    1.900238	  132.542640	    0.000251	  158.057980	    0.000100	   24.519930	    0.000436	  -26.288785	    0.000570	   14.530031	    0.000018	  145.300310	    0.000176	   -0.088443	    0.000050	   -0.884428	    0.000503
